"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"C1"	"100pF"	"Device:C"	"Capacitor_THT:C_Disc_D9.0mm_W5.0mm_P7.50mm"	"Unpolarized capacitor"	""
"C2"	"10uF"	"Device:CP"	"Capacitor_THT:CP_Radial_D8.0mm_P5.00mm"	"Polarized capacitor"	""
"C3"	"10u"	"Device:CP"	"Capacitor_THT:CP_Radial_D8.0mm_P5.00mm"	"Polarized capacitor"	""
"C4"	"1u"	"Device:CP"	"Capacitor_THT:CP_Radial_D8.0mm_P5.00mm"	"Polarized capacitor"	""
"C6"	"220uF"	"Device:CP"	"Capacitor_THT:CP_Radial_D8.0mm_P5.00mm"	"Polarized capacitor"	""
"C7"	"220uF"	"Device:CP"	"Capacitor_THT:CP_Radial_D8.0mm_P5.00mm"	"Polarized capacitor"	""
"C8"	"100pF"	"Device:C"	"Capacitor_THT:C_Disc_D9.0mm_W5.0mm_P7.50mm"	"Unpolarized capacitor"	""
"J1"	"FreqRange"	"Connector:Conn_01x02_Male"	"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"	"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J2"	"WaveA1"	"Connector:Conn_01x01_Male"	"Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical"	"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J3"	"12V-GND-5V"	"Connector:Conn_01x03_Male"	"Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"	"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J4"	"FreqCounterD5 "	"Connector:Conn_01x01_Male"	"Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical"	"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J5"	"TTL OUT"	"Connector:Screw_Terminal_01x02"	"TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm"	"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J6"	"SIN-TRI-SQU-PWM"	"Connector:Conn_01x03_Male"	"Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"	"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J7"	"PulseWidth 100k"	"Connector:Conn_01x03_Male"	"Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"	"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J8"	"FreqCoarse 1M"	"Connector:Conn_01x03_Male"	"Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"	"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J9"	"FreqFine 10k"	"Connector:Conn_01x03_Male"	"Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"	"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J10"	"50 Ohm OUT"	"Connector:Screw_Terminal_01x02"	"TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm"	"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J11"	"OUT Gain 10k"	"Connector:Conn_01x03_Male"	"Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"	"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J12"	"WaveA2"	"Connector:Conn_01x01_Male"	"Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical"	"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J13"	"MO"	"Connector:Conn_01x01_Male"	"Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical"	"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"R2"	"1k"	"Device:R"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	"Resistor"	""
"R5"	"1k"	"Device:R"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	"Resistor"	""
"R6"	"1k"	"Device:R"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	"Resistor"	""
"R7"	"10k"	"Device:R"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	"Resistor"	""
"R8"	"1k"	"Device:R"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	"Resistor"	""
"R9"	"2k2"	"Device:R"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	"Resistor"	""
"R11"	"100"	"Device:R"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	"Resistor"	""
"R12"	"100"	"Device:R"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	"Resistor"	""
"R13"	"1k"	"Device:R"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	"Resistor"	""
"R14"	"1k"	"Device:R"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	"Resistor"	""
"R15"	"47k"	"Device:R"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	"Resistor"	""
"R16"	"47k"	"Device:R"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	"Resistor"	""
"R17"	"10k"	"Device:R"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	"Resistor"	""
"R18"	"10k"	"Device:R"	"Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal"	"Resistor"	""
"RV1"	"20k"	"Device:R_POT_TRIM"	"Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical"	"Trim-potentiometer"	""
"RV2"	"50k"	"Device:R_POT_TRIM"	"Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical"	"Trim-potentiometer"	""
"RV5"	"20k"	"Device:R_POT_TRIM"	"Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical"	"Trim-potentiometer"	""
"RV6"	"20k"	"Device:R_POT_TRIM"	"Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical"	"Trim-potentiometer"	""
"U1"	"LTV-847"	"Isolator:LTV-847"	"Package_DIP:DIP-16_W7.62mm"	"Quad DC Optocoupler, Vce 35V, CTR 50%, DIP-16"	""
"U2"	"XR2206CP-F"	"XR2206CP-F:XR2206CP-F"	"XR2206CP-F:DIP254P762X533-16"	""	""
"U3"	"74HC14"	"74xx:74HC14"	"SN74HC14N:DIP254P762X508-14"	"Hex inverter schmitt trigger"	""
"U4"	"NE5532"	"Amplifier_Operational:NE5532"	"NE5532P:DIP254P762X508-8"	"Dual Low-Noise Operational Amplifiers, DIP-8/SOIC-8"	""
"U5"	"NE5532"	"Amplifier_Operational:NE5532"	"NE5532P:DIP254P762X508-8"	"Dual Low-Noise Operational Amplifiers, DIP-8/SOIC-8"	""
